case_number,court,year,month,pdf_url,civilian_judge,military_judge
OA_1628_of_2014,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_1628_of_2014.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_1784_of_2013,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_1784_of_2013.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_1805_of_2012,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_1805_of_2012.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_2807_of_2013,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_2807_of_2013.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_2971_of_2012,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_2971_of_2012.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_3114_of_2013,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_3114_of_2013.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_3622_of_2012,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_3622_of_2012.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_3982_of_2013,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_3982_of_2013.pdf,surinder singh thakur,lt. gen. ds sidhu
OA_4276_of_2013,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/OA_4276_of_2013.pdf,surinder singh thakur,lt. gen. ds sidhu
TA_30_of_2013,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/TA_30_of_2013.pdf,surinder singh thakur,lt. gen. ds sidhu
TA_34_of_2014,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/TA_34_of_2014.pdf,surinder singh thakur,lt. gen. ds sidhu
TA_172_of_2011,CHANDIGARH,2015,05,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/may2015/TA_172_of_2011.pdf,surinder singh thakur,lt. gen. ds sidhu
OA 06 of 2014,CHANDIGARH,2015,06,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/june2015/OA%2006%20of%202014.pdf,surinder singh thakur,lt. gen. ds sidhu
OA 817 of 2014,CHANDIGARH,2015,06,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/june2015/OA%20817%20of%202014.pdf,surinder singh thakur,lt. gen. ds sidhu
OA 859 of 2014,CHANDIGARH,2015,06,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/june2015/OA%20859%20of%202014.pdf,surinder singh thakur,lt. gen. ds sidhu
OA 1012 of 2014,CHANDIGARH,2015,06,https://www.aftdelhi.nic.in/benches/chandigarh_bench/judgments/court_3/june2015/OA%201012%20of%202014.pdf,surinder singh thakur,lt. gen. ds sidhu
